0.000100,-43.843451
1.000000,-13.403079
4.000000,-8.636551
5.000000,-7.894793
8.000000,-6.325709
10.000000,-5.601655
12.000000,-5.019618
14.000000,-4.534404
16.000000,-4.122150
18.000000,-3.759609
20.000000,-3.437565
22.000000,-3.148533
24.000000,-2.890398
26.000000,-2.656496
28.000000,-2.440494
30.000000,-2.242433
32.000000,-2.058722
34.000000,-1.887868
36.000000,-1.726873
38.000000,-1.576115
40.000000,-1.433285
42.000000,-1.300564
44.000000,-1.176476
46.000000,-1.059077
48.000000,-0.944997
50.000000,-0.836941
52.000000,-0.734356
54.000000,-0.634711
56.000000,-0.537629
58.000000,-0.444437
60.000000,-0.354470
62.000000,-0.265406
64.000000,-0.178867
66.000000,-0.095355
68.000000,-0.012679
70.000000,0.067170
72.000000,0.145965
74.000000,0.225055
76.000000,0.303231
78.000000,0.380918
80.000000,0.460492
82.000000,0.540384
84.000000,0.623234
86.000000,0.711703
88.000000,0.805489
90.000000,0.910168
92.000000,1.028732
94.000000,1.174803
96.000000,1.368292
98.000000,1.683951
99.999900,6.098997
